0,1,2,3,4,5
-12.20703125,-41.9921875,-345.21484375,91.796875,-23.4375,0
27.83203125,-99.609375,-354.00390625,79.1015625,50.29296875,0
23.4375,-95.21484375,-285.64453125,-113.76953125,-149.4140625,0
3.90625,-69.3359375,-315.4296875,-34.1796875,-183.10546875,0
-10.25390625,-83.984375,-359.86328125,99.12109375,-26.85546875,0
-44.43359375,-99.609375,-398.4375,18.06640625,220.21484375,0
-59.08203125,-44.43359375,-373.53515625,-124.51171875,88.37890625,0
-31.73828125,-30.76171875,-371.58203125,-124.51171875,-166.50390625,0
14.16015625,-79.1015625,-381.8359375,72.75390625,-132.32421875,0
21.97265625,-137.20703125,-458.0078125,133.30078125,97.16796875,0
-61.03515625,-145.5078125,-465.33203125,-67.3828125,365.72265625,0
-55.6640625,-49.31640625,-301.26953125,-158.69140625,-55.6640625,0
31.73828125,-21.97265625,-373.046875,21.97265625,-170.8984375,0
-44.43359375,-93.75,-439.453125,29.296875,36.1328125,0
-105.46875,-141.6015625,-436.03515625,-125.0,-40.0390625,0
-101.5625,-88.8671875,-436.03515625,-220.21484375,-245.60546875,0
-75.68359375,-76.171875,-453.125,-70.3125,-157.2265625,0
-43.45703125,-131.8359375,-476.5625,53.22265625,135.25390625,0
-41.015625,-107.91015625,-435.05859375,8.30078125,93.75,0
-55.6640625,-77.1484375,-416.50390625,-120.60546875,-138.18359375,0
-51.26953125,-70.80078125,-522.94921875,-75.68359375,-129.8828125,0
-47.36328125,-37.59765625,-572.265625,50.78125,308.59375,0
4.39453125,16.6015625,-362.79296875,73.2421875,226.07421875,0
-4.8828125,-59.08203125,-429.19921875,-83.984375,-240.234375,0
-35.64453125,-111.81640625,-412.109375,-121.58203125,-277.83203125,0
7.8125,-61.5234375,-284.66796875,60.546875,-111.328125,0
-5.859375,-28.80859375,-327.63671875,113.28125,-107.421875,0
-60.05859375,-86.42578125,-396.484375,-30.2734375,-249.0234375,0
-80.56640625,-113.28125,-392.08984375,-170.41015625,-126.46484375,0
-38.0859375,-57.12890625,-336.9140625,-8.7890625,114.74609375,0
14.6484375,-55.17578125,-326.66015625,124.0234375,137.6953125,0
-20.99609375,-77.63671875,-345.703125,20.99609375,-22.4609375,0
-83.49609375,-106.4453125,-447.75390625,-154.296875,-0.9765625,0
-17.08984375,-51.7578125,-376.46484375,-41.9921875,408.69140625,0
28.80859375,36.1328125,-160.64453125,89.84375,208.0078125,0
-14.16015625,-50.29296875,-289.0625,-4.39453125,-67.87109375,0
-59.5703125,-13.18359375,-376.953125,-179.19921875,10.25390625,0
-57.6171875,60.546875,-304.6875,-130.37109375,-77.1484375,0
-27.83203125,-56.640625,-365.234375,53.7109375,-96.6796875,0
-20.99609375,-38.57421875,-441.89453125,45.8984375,-22.94921875,0
-38.57421875,-15.625,-468.75,-90.8203125,-67.87109375,0
-47.8515625,-83.984375,-394.04296875,-112.3046875,-127.9296875,0
-27.83203125,-66.89453125,-303.7109375,30.2734375,3.90625,0
-66.89453125,-45.41015625,-419.921875,38.57421875,129.39453125,0
-106.93359375,-21.484375,-456.54296875,-102.05078125,227.05078125,0
-56.15234375,36.1328125,-227.05078125,-146.97265625,-9.765625,0
-21.97265625,-5.37109375,-228.02734375,-19.53125,-118.65234375,0
-7.8125,-109.86328125,-321.77734375,65.4296875,173.33984375,0
-17.08984375,-90.8203125,-264.16015625,-8.30078125,111.81640625,0
-89.84375,-17.08984375,-182.6171875,-182.6171875,-306.640625,0
-101.5625,-27.34375,-267.578125,-114.2578125,-305.17578125,0
-34.66796875,-68.84765625,-296.875,64.94140625,8.7890625,0
-23.92578125,-43.9453125,-307.6171875,11.71875,62.01171875,0
-37.59765625,9.27734375,-326.171875,-157.2265625,-137.20703125,0
-37.109375,17.08984375,-257.8125,-122.55859375,-177.24609375,0
-46.875,-19.53125,-328.125,22.4609375,187.5,0
-48.828125,-15.13671875,-298.33984375,42.96875,480.46875,0
-4.8828125,76.171875,-76.66015625,-58.59375,44.43359375,0
-10.25390625,48.828125,-204.58984375,-116.2109375,-308.59375,0
-30.76171875,-20.01953125,-286.62109375,11.71875,-125.48828125,0
-25.390625,-45.41015625,-287.59765625,66.40625,-41.50390625,0
-23.92578125,-11.23046875,-321.2890625,-50.29296875,-211.42578125,0
-28.80859375,-10.25390625,-370.60546875,-157.2265625,-344.23828125,0
-4.39453125,-5.37109375,-342.28515625,-14.6484375,-124.0234375,0
12.6953125,50.78125,-294.921875,99.609375,-37.109375,0
-13.671875,-16.11328125,-382.8125,2.9296875,-80.56640625,0
-31.73828125,-69.82421875,-439.453125,-135.25390625,-78.125,0
-35.64453125,-52.734375,-431.15234375,-86.9140625,220.21484375,0
-32.2265625,2.44140625,-199.21875,13.671875,216.30859375,0
-35.15625,-23.92578125,-250.0,-8.7890625,-140.13671875,0
-56.640625,-73.2421875,-371.09375,-151.3671875,-210.9375,0
-51.26953125,-23.92578125,-344.7265625,-138.18359375,-215.33203125,0
3.41796875,58.10546875,-366.69921875,72.265625,-126.46484375,0
23.4375,37.109375,-374.0234375,116.69921875,-85.44921875,0
10.7421875,-48.33984375,-353.515625,-28.80859375,-19.53125,0
-12.6953125,-40.0390625,-265.13671875,-128.41796875,-1.46484375,0
-36.1328125,-19.53125,-286.1328125,-8.30078125,-10.7421875,0
-38.57421875,-40.52734375,-285.15625,58.10546875,42.96875,0
-78.125,-56.640625,-326.66015625,-56.640625,296.875,0
-112.79296875,-12.20703125,-353.02734375,-214.35546875,518.06640625,0
-22.4609375,28.80859375,21.97265625,-75.68359375,172.8515625,0
53.7109375,-33.69140625,130.37109375,110.3515625,-47.8515625,0
31.25,-23.4375,-80.078125,60.05859375,-40.52734375,0
-6.34765625,1.46484375,-161.1328125,-98.14453125,-237.79296875,0
-28.3203125,-29.78515625,-121.58203125,-63.4765625,-288.57421875,0
-21.97265625,-13.671875,-112.3046875,45.41015625,-141.11328125,0
-18.06640625,16.6015625,-136.71875,26.3671875,-68.84765625,0
-1.46484375,-41.50390625,-49.31640625,-85.9375,-195.80078125,0
40.0390625,6.34765625,18.06640625,-65.4296875,-229.4921875,0
10.7421875,10.25390625,5.859375,53.22265625,-2.44140625,0
-34.66796875,-87.40234375,-180.17578125,67.3828125,556.15234375,0
-35.64453125,-43.9453125,27.34375,-30.2734375,406.25,0
-64.94140625,-7.32421875,246.58203125,-181.15234375,-234.86328125,0
-53.7109375,-31.25,154.78515625,-55.6640625,-86.9140625,0
-4.8828125,-59.5703125,298.828125,107.91015625,89.84375,0
8.30078125,-12.6953125,388.671875,31.73828125,-93.75,0
-23.92578125,-9.765625,208.0078125,-124.51171875,-302.24609375,0
-61.5234375,-87.890625,71.77734375,-87.40234375,-174.8046875,0
-38.0859375,-60.05859375,75.68359375,30.76171875,27.83203125,0
-4.39453125,-49.8046875,2.9296875,41.015625,-8.30078125,0
7.8125,-52.734375,-67.3828125,-71.77734375,-127.9296875,0
34.1796875,-9.765625,-156.73828125,1.46484375,115.234375,0
-27.34375,-60.546875,-155.76171875,76.171875,436.5234375,0
-87.40234375,-95.703125,3.41796875,-0.9765625,172.8515625,0
-72.265625,-93.75,-68.359375,-137.20703125,-106.4453125,0
-84.9609375,-84.9609375,-225.5859375,-179.19921875,-3.41796875,0
-37.59765625,-46.875,-111.328125,14.16015625,165.52734375,0
-13.18359375,-11.71875,-1.953125,73.73046875,-61.03515625,0
0.0,24.4140625,-177.24609375,-0.9765625,-172.36328125,0
14.6484375,-7.32421875,-159.1796875,-73.73046875,-203.61328125,0
-15.625,-46.38671875,-5.37109375,-21.97265625,-169.921875,0
-42.96875,-38.57421875,-44.921875,45.41015625,-105.46875,0
-53.7109375,-85.9375,-182.6171875,-14.6484375,-50.29296875,0
-47.8515625,-109.375,-255.37109375,-141.6015625,-47.36328125,0
11.23046875,-51.7578125,-123.53515625,-28.80859375,-86.9140625,0
4.39453125,-46.38671875,-23.92578125,123.046875,-147.4609375,0
-45.41015625,-60.05859375,-182.6171875,49.31640625,-52.734375,0
-94.7265625,-77.1484375,-389.6484375,-161.62109375,305.17578125,0
-52.734375,-22.94921875,-164.0625,-148.4375,124.0234375,0
48.33984375,13.18359375,-29.78515625,45.41015625,-173.33984375,0
9.27734375,-63.96484375,-197.75390625,55.6640625,-73.73046875,0
-45.41015625,-67.87109375,-136.71875,-89.35546875,-127.9296875,0
-34.66796875,-22.94921875,-81.54296875,-98.14453125,-227.05078125,0
16.11328125,-12.6953125,-93.75,74.21875,-114.74609375,0
-35.64453125,-84.47265625,-202.63671875,73.73046875,101.5625,0
-121.09375,-121.09375,-276.85546875,-89.84375,104.00390625,0
-43.45703125,-55.17578125,-174.31640625,-129.39453125,-37.59765625,0
13.18359375,-25.87890625,-104.00390625,32.71484375,-27.83203125,0
-41.015625,-95.703125,-260.25390625,74.21875,199.70703125,0
-79.58984375,-93.26171875,-285.15625,-70.3125,283.203125,0
-52.24609375,5.859375,-134.27734375,-204.58984375,-176.26953125,0
13.18359375,3.90625,-106.4453125,-30.76171875,-241.2109375,0
-26.3671875,-54.6875,-107.421875,96.6796875,141.11328125,0
-70.3125,-29.78515625,-32.2265625,19.04296875,113.76953125,0
-73.73046875,-17.08984375,-55.6640625,-126.953125,-222.16796875,0
-29.296875,-1.46484375,-196.77734375,-106.4453125,-199.70703125,0
15.13671875,-1.953125,-197.75390625,87.40234375,-53.7109375,0
-26.3671875,-41.50390625,-202.1484375,85.44921875,-22.4609375,0
-58.10546875,-29.296875,-246.09375,-83.984375,-154.78515625,0
-76.171875,-31.25,-307.12890625,-159.1796875,-209.9609375,0
-45.8984375,-7.8125,-187.01171875,3.41796875,-9.765625,0
-37.109375,0.9765625,-56.15234375,91.30859375,27.34375,0
-37.59765625,-1.46484375,-137.20703125,3.41796875,-74.21875,0
-13.671875,2.44140625,-257.32421875,-81.0546875,-54.19921875,0
-24.4140625,-45.8984375,-231.4453125,-10.25390625,253.90625,0
-39.0625,-31.25,-24.4140625,64.453125,173.828125,0
-42.48046875,-24.4140625,-78.61328125,9.765625,-80.56640625,0
-70.3125,-85.44921875,-269.53125,-177.24609375,-87.890625,0
-39.55078125,-30.2734375,-226.5625,-134.27734375,37.109375,0
-5.859375,69.3359375,-163.57421875,63.4765625,20.99609375,0
-3.90625,31.73828125,-266.11328125,87.40234375,-6.34765625,0
-26.85546875,-89.84375,-426.26953125,-93.26171875,80.56640625,0
-37.109375,-77.1484375,-358.88671875,-98.6328125,180.17578125,0
6.8359375,6.8359375,-94.7265625,57.6171875,-8.7890625,0
13.18359375,-40.0390625,-210.44921875,84.47265625,-152.83203125,0
-29.296875,-47.8515625,-347.16796875,-49.31640625,-110.3515625,0
-32.71484375,13.671875,-324.21875,-136.23046875,-187.01171875,0
7.8125,6.8359375,-329.1015625,26.85546875,-183.10546875,0
